survey,target,target_description,target_question,target_section,country,pool_size,majority_baseline,flags,feat_rank,feat_variable,feat_description,feat_question,feat_section,feat_importance_mean,feat_importance_std
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,8.0,Q8,How often discuss politics,"When you get together with your friends or family, how often would you say you discuss political matters?",political_participation,0.0025,0.00228
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,9.0,Q46N,Government performance on promoting equal rights and opportunities for women,How well or badly would you say the current government is at promoting equal rights and opportunities for women?,institutional_trust,0.0025,0.00373
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,10.0,Q51A,Opinion on whether the government should do more or less for women's rights and equality,"Should the government and elected officials do more, less, or about the same as they are doing now to advance the rights and equality of women?",social_attitudes,0.0025,0.00373
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,1.0,Q69,Who is primarily responsible for limiting climate change,Who should have primary responsibility for limiting climate change and reducing its impact?,contemporary_issues,0.49667,0.02193
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,2.0,Q78D,Awareness of Japan providing loans or development assistance to the country,"To your knowledge, does Japan give loans or development assistance to this country?",political_attitudes,0.00833,0.00295
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,3.0,Q39B,Safety of reporting corruption,"In this country, can ordinary people report incidents of corruption without fear, or do they risk retaliation or other negative consequences if they speak out?",institutional_trust,0.005,0.00186
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,4.0,Q37G,Trust in the police,How much do you trust the police?,institutional_trust,0.00417,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,5.0,Q48A,Who is responsible for ensuring MPs do their jobs,"Who should be responsible for making sure that, once elected, members of Parliament do their jobs?",institutional_trust,0.00417,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,6.0,Q37E,Trust in the ruling party,How much do you trust the ruling political party?,institutional_trust,0.00333,0.00186
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,7.0,Q41D,Respect received from healthcare staff,"When dealing with health workers and clinic or hospital staff, how much do you feel they treated you with respect?",institutional_trust,0.0025,0.00228
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,8.0,Q77,Perceived influence of China's economic activities on the national economy,How much influence do you think China's economic activities in this country have on our economy?,political_attitudes,0.0025,0.00228
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,9.0,Q85B,Children belong more to mother's or father's side,"In your family, do the children belong more to the mother's side, more to the father's side, or to both sides equally?",demographics,0.00167,0.00373
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Angola,239.0,0.5042,CONCENTRATED,10.0,Q73A,Government regulation of natural resource extraction,Should the government impose stricter regulations on natural resource extraction to reduce environmental damage?,contemporary_issues,0.00167,0.00228
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,1.0,Q70C,Do more to fight climate change: government,"Is the government doing enough to limit climate change, or should they do more?",contemporary_issues,0.21333,0.02193
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,2.0,Q67B,Perception of climate change impact,Do you think climate change is making life in this country better or worse?,contemporary_issues,0.21333,0.02193
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,3.0,Q69,Who is primarily responsible for limiting climate change,Who should have primary responsibility for limiting climate change and reducing its impact?,contemporary_issues,0.21333,0.02193
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,4.0,Q68A,Belief in citizens' role in limiting climate change,Can ordinary citizens play a role in limiting climate change?,contemporary_issues,0.21333,0.02193
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,5.0,Q70A,Do more to fight climate change: citizens,"Are ordinary citizens doing enough to limit climate change, or should they do more?",contemporary_issues,0.08417,0.00543
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,6.0,Q4A,Country's present economic condition,"In general, how would you describe the present economic condition of this country?",political_attitudes,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,7.0,Q5A,Country's economic condition compared to 12 months ago,"Looking back, how do you rate economic conditions in this country compared to 12 months ago?",political_attitudes,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,8.0,Q4B,Your present living conditions,"In general, how would you describe your own present living conditions?",political_attitudes,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,9.0,Q6A,How often gone without food,"Over the past year, how often, if ever, have you or anyone in your family gone without enough food to eat?",wellbeing,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Gabon,244.0,0.6958,,10.0,Q6B,How often gone without water,"Over the past year, how often, if ever, have you or anyone in your family gone without enough clean water for home use?",wellbeing,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,1.0,Q69,Who is primarily responsible for limiting climate change,Who should have primary responsibility for limiting climate change and reducing its impact?,contemporary_issues,0.22594,0.017
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,2.0,Q68B,Belief in government action against climate change,"Should the government take steps now to limit climate change, even if it is expensive or causes job losses?",contemporary_issues,0.2251,0.01833
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,3.0,Q70A,Do more to fight climate change: citizens,"Are ordinary citizens doing enough to limit climate change, or should they do more?",contemporary_issues,0.2251,0.0171
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,4.0,Q70C,Do more to fight climate change: government,"Is the government doing enough to limit climate change, or should they do more?",contemporary_issues,0.22427,0.01838
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,5.0,Q4A,Country's present economic condition,"In general, how would you describe the present economic condition of this country?",political_attitudes,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,6.0,Q4B,Your present living conditions,"In general, how would you describe your own present living conditions?",political_attitudes,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,7.0,Q5A,Country's economic condition compared to 12 months ago,"Looking back, how do you rate economic conditions in this country compared to 12 months ago?",political_attitudes,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,8.0,Q5B,Country's economic condition in 12 months' time,"Looking ahead, do you expect economic conditions in this country to be better or worse in 12 months' time?",political_attitudes,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,9.0,Q6A,How often gone without food,"Over the past year, how often, if ever, have you or anyone in your family gone without enough food to eat?",wellbeing,0.0,0.0
afrobarometer,Q67A,Awareness of climate change,Have you heard about climate change?,contemporary_issues,Mali,244.0,0.5925,,10.0,Q6B,How often gone without water,"Over the past year, how often, if ever, have you or anyone in your family gone without enough clean water for home use?",wellbeing,0.0,0.0
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,1.0,Q17,Media checks government vs avoid negative reporting,"Which of the following statements is closest to your view? Statement 1: The news media should constantly investigate and report on government mistakes and corruption. Statement 2: Too much reporting on negative events, like government mistakes and corruption, only harms the country?",political_attitudes,0.01667,0.0051
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,2.0,Q88B,Others see respondent as citizen like them,Do you agree or disagree with the following statement: Other citizens think of me as a citizen just like them?,values_identity,0.01,0.00812
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,3.0,Q72B,Most important environmental issue in community,What is the most important environmental issue in your community?,contemporary_issues,0.00917,0.00618
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,4.0,Q93A,Employment status,"Do you have a job that pays a cash income? If yes, is it full-time or part-time? If no, are you presently looking for a job?",demographics,0.00583,0.00475
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,5.0,Q90I,How often use the Internet,How often do you use the Internet?,demographics,0.00583,0.00475
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,6.0,Q11E,Contact traditional leader,"During the past year, how often have you contacted a traditional leader about an important problem or to give your views?",political_participation,0.005,0.00186
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,7.0,Q21B,Women have equal right to land,Do you agree or disagree that: Women should have the same rights as men to own and inherit land?,social_attitudes,0.005,0.00903
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,8.0,Q38G,Perceived corruption among tax officials,"How many tax officials, such as those from the national revenue authority, do you think are involved in corruption?",institutional_trust,0.005,0.00685
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,9.0,Q28,President free to act vs obey the laws and courts,"Which of the following statements is closest to your view?
Statement 1: Since the country's president was elected to lead the country, they should not be bound by laws or court decisions that the country's president thinks are wrong.
Statement 2: The the country's president must always obey the laws and the courts, even if they think they are wrong?",political_attitudes,0.00417,0.0051
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Angola,239.0,0.2733,,10.0,Q37I,Trust in the courts of law,How much do you trust the courts of law?,institutional_trust,0.00417,0.01062
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,1.0,Q73B,Public voice in natural resource extraction decisions,Do ordinary citizens have a voice in decisions about natural resource extraction near their communities?,contemporary_issues,0.02092,0.00512
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,2.0,Q16,Media free to publish vs government control,Which of the following statements is closest to your view?Statement 1: The media should have the right to publish any views and ideas without government control. Statement 2: The government should have the right to prevent the media from publishing things that it disapproves of?,political_attitudes,0.01841,0.00868
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,3.0,Q5B,Country's economic condition in 12 months' time,"Looking ahead, do you expect economic conditions in this country to be better or worse in 12 months' time?",political_attitudes,0.01674,0.00662
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,4.0,Q38E,Perceived corruption in the police force,How many police officers do you think are involved in corruption?,institutional_trust,0.01506,0.00477
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,5.0,Q33A,How often party competition leads to conflict,"In your opinion, how often, in this country does competition between political parties lead to violent conflict?",wellbeing,0.01423,0.01008
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,6.0,Q19B,Elected officials follow voter demands vs follow own ideas,Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Statement 1: Our elected officials should listen to voters' views and do what they demand. Statement 2: Our elected leaders should follow their own ideas in deciding what is best for the country?,political_attitudes,0.01423,0.00561
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,7.0,Q74D,Frequency of getting news from the internet,How often do you get news from the internet?,contemporary_issues,0.01255,0.00662
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,8.0,Q72D,Who is responsible for reducing pollution,Who should be primarily responsible for reducing pollution and keeping your community clean?,contemporary_issues,0.01255,0.00296
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,9.0,Q93B,Occupation of respondent,"What is your main occupation? If unemployed, retired, or disabled, what was your last main occupation?",demographics,0.01172,0.0035
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Gabon,244.0,0.2879,,10.0,Q33I,Treated unfairly by government based on economic status,"How often, if ever, are people treated unfairly by the government based on their economic status, that is, how rich or poor they are?",institutional_trust,0.01088,0.00477
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Mali,244.0,0.4277,,1.0,Q19A,Government like a boss vs like an employee,Which of the following statements is closest to your view? Statement 1: The government is like the people's boss. People should respect the government and do what it directs. Statement 2: The government is like the people's employee. It should respect the citizens and do what they request?,political_attitudes,0.0175,0.01485
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Mali,244.0,0.4277,,2.0,Q7B,How often feared crime in home,"Over the past year, how often, if ever, have you or anyone in your family feared crime in your own home?",wellbeing,0.01333,0.00543
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Mali,244.0,0.4277,,3.0,Q27B,President monitored by parliament vs free to act on own,Which of the following statements is closest to your view? Statement 1: Parliament should ensure that the president explains to it on a regular basis how their government spends taxpayers' money. Statement 2: The president should be able to devote full attention to developing the country rather than wasting time justifying their actions?,political_attitudes,0.0125,0.0078
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Mali,244.0,0.4277,,4.0,Q26,Democracy needs political party turnover vs ok if one party always wins,"Which of the following statements is closest to your view? Statement 1: In a democracy, it is better if power sometimes changes hands in elections from one political party to another. Statement 2: In a democracy, as long as a government is elected by the people in a free and fair election, it doesn't matter if one party always wins and continuously governs the country?",political_attitudes,0.01167,0.01485
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Mali,244.0,0.4277,,5.0,Q8,How often discuss politics,"When you get together with your friends or family, how often would you say you discuss political matters?",political_participation,0.00917,0.00543
afrobarometer,Q18,Govt gets things done vs govt accountable to citizens,"Which of the following statements is closest to your view? Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly?",political_attitudes,Mali,244.0,0.4277,,6.0,Q73A,Government regulation of natural resource extraction,Should the government impose stricter regulations on natural resource extraction to reduce environmental damage?,contemporary_issues,0.00833,0.00417
